id,Country,Year,Species,Classification,Cluster,sul2,aph(3'')-Ib,aph(6)-Id,tet(B),catA2,aph(6)-Id*,aph(3'')-Ib*,blaBRO-1,blaBRO-2,blaBRO-1*,blaBRO-1^,blaBRO-2*,AG261,AB778,AC411,AE018
46472_2#209_fa,Thailand,2009,Moraxella catarrhalis,Serosensitive,Serosensitive_30,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent
47195_1#69_fa,United Kingdom,2009,Moraxella catarrhalis,Serosensitive,Serosensitive_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#71_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_147,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#84_fa,Cambodia,2019,Moraxella catarrhalis,Serosensitive,Serosensitive_115,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#187_fa,United Kingdom,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_1,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#247_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_8,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46472_2#159_fa,Thailand,2008,Moraxella catarrhalis,Seroresistant,Seroresistant_179,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#281_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_8,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46736_1#146_fa,United Kingdom,2020,Moraxella catarrhalis,Serosensitive,Serosensitive_5,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#164_fa,United Kingdom,2010,Moraxella catarrhalis,Seroresistant,Seroresistant_14,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#191_fa,Thailand,2009,Moraxella catarrhalis,Seroresistant,Seroresistant_307,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent
46321_1#294_fa,Thailand,2008,Moraxella catarrhalis,Serosensitive,Serosensitive_123,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#221_fa,Thailand,2009,Moraxella catarrhalis,Seroresistant,Seroresistant_197,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Present,Absent,Absent,Absent
46472_2#273_fa,Thailand,2009,Moraxella catarrhalis,Seroresistant,Seroresistant_62,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
47195_1#262_fa,United Kingdom,2010,Moraxella catarrhalis,Seroresistant,Seroresistant_22,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_2#107_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_4,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
46321_1#319_fa,Cambodia,2019,Moraxella catarrhalis,Seroresistant,Seroresistant_301,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Present,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent
