tsne1D,tsne2D,Standard_Cluster,Membership_Probability,Sample_Name
-22.486557642553095,8.506439597977451,73,1.0,36773_2#10_plasmid_AF100
5.6817194382936975,47.89068054129728,1,1.0,36773_2#126_plasmid_AB621
-27.143672445248868,-3.6234913701578195,77,1.0,36773_2#128_plasmid_AF100
5.639687947671375,48.31870167070683,1,1.0,36773_2#129_plasmid_AB621
-24.727270532235607,14.97374109612234,64,0.5032134496278601,36773_2#144_plasmid_AF100
-15.23897681126508,-2.28204134989082,54,2.1162217119973587e-07,36773_2#150_plasmid_AF100
5.504807953879176,48.63890892067069,1,1.0,36773_2#158_plasmid_AB621
-34.84425670650134,25.174478022822143,15,1.978660221731966e-07,36773_2#160_plasmid_AF100
4.434294890039059,48.85584138116455,1,1.0,36773_2#179_plasmid_AB621
4.713367920032306,48.37685692700113,1,1.0,36773_2#187_plasmid_AB621
-15.23897701865698,-2.2820413876228827,54,2.116221729319419e-07,36773_2#199_plasmid_AF100
-20.52717768485626,-46.19832001836259,-1,0.0,36773_2#19_plasmid_AF100
-7.388427430643634,-6.288845777954272,33,1.0,36773_2#200_plasmid_AF100
4.060603692738097,48.21732073609898,1,1.0,36773_2#211_plasmid_AB621
-6.151881337744242,32.25098884601244,84,0.8221263369451399,36773_2#239_plasmid_AB946
4.0680948334499085,47.636016117620414,1,1.0,36773_2#240_plasmid_AB621
4.0246031062731085,48.54633181158972,1,1.0,36773_2#241_plasmid_AB621
6.04768437862983,45.85761753518655,1,0.269919588515301,36773_2#24_plasmid_AB621
-19.984835900922526,-44.873279628758496,6,0.7908347960101627,36773_2#251_plasmid_AF100
-14.446636145014084,-0.08014389425323731,-1,0.0,36773_2#26_plasmid_AF100
-21.12485196332023,-46.839448733929586,41,1.0,36773_2#273_plasmid_AF100
-21.124851964570247,-46.83944872678582,41,1.0,36773_2#277_plasmid_AF100
-19.984835896719474,-44.87327962812956,6,0.7908706681417524,36773_2#312_plasmid_AF100
4.05612352501495,47.64769999428646,1,1.0,36773_2#341_plasmid_AB621
-11.269028912876845,-2.6589760405168956,89,1.0,36773_2#347_plasmid_AF100
-30.02453193111083,-6.262993907947845,76,0.7749534479906638,36773_2#361_plasmid_AF100
-29.827745066314684,-5.552993184376774,76,0.8434721451342907,36773_2#363_plasmid_AF100
-22.937455415512723,-49.89115893386443,13,1.0,36773_2#374_plasmid_AF100
5.414244498818915,48.69160209670622,1,1.0,36773_2#39_plasmid_AB621
-7.392346956147828,-6.2878627834937415,33,0.9665061654034363,36773_2#3_plasmid_AF100
4.47007056476466,47.321544384240816,1,1.0,36773_2#50_plasmid_AB621
-24.65792026389312,14.889041589253832,64,0.6427523499807405,36773_2#5_plasmid_AF100
-10.886719677498075,-2.641811426123902,-1,0.0,36773_2#71_plasmid_AF100
-24.657920263296745,14.88904159092991,64,0.6427523418296183,36773_2#78_plasmid_AF100
4.098450504173407,48.17120513164868,1,1.0,36773_2#97_plasmid_AB621
4.595628026189154,47.98166133393692,1,1.0,36773_2#99_plasmid_AB621
-8.44315364618611,31.746795741255617,-1,0.0,36774_1#100_plasmid_AB946
4.8837795826751975,48.007385791328,1,1.0,36774_1#105_plasmid_AB621
-29.652208975943854,-6.779321020292414,76,0.705225550084867,36774_1#107_plasmid_AF100
4.6986227524635975,48.3375364722095,1,1.0,36774_1#110_plasmid_AB621
-22.486300646939675,8.506615805304888,73,1.0,36774_1#116_plasmid_AF100
-14.44662945996592,-0.08103171636933837,-1,0.0,36774_1#128_plasmid_AF100
-24.80652503856648,14.904806282451334,64,0.6940410495027808,36774_1#133_plasmid_AF100
-7.8788089003753665,13.010492148068222,-1,0.0,36774_1#134_plasmid_AF098
-22.5752047852425,5.636400378651797,32,0.7330555679803242,36774_1#139_plasmid_AF100
