npg_run_id	serotype	status
36982_2#52	type_c	full_gene_complement
36983_1#113	type_f	full_gene_complement
36983_1#118	type_a	full_gene_complement
36983_1#126	type_b	full_gene_complement,fragmented_locus
36983_1#128	type_b	full_gene_complement,fragmented_locus
36983_1#169	type_b	full_gene_complement,truncated_genes,fragmented_locus
36983_1#185	type_b	full_gene_complement,truncated_genes,fragmented_locus
36983_1#192	type_b	full_gene_complement,fragmented_locus
36983_1#205	type_e	full_gene_complement
36983_1#223	type_b	full_gene_complement,fragmented_locus
36983_1#228	type_f	full_gene_complement
36983_1#30	type_b	full_gene_complement,fragmented_locus
36983_1#319	type_b	full_gene_complement,fragmented_locus
36983_1#323	type_b	full_gene_complement,truncated_genes,fragmented_locus
36983_1#333	type_b	full_gene_complement,fragmented_locus
36983_1#36	type_d	full_gene_complement
36983_1#39	type_b	full_gene_complement,truncated_genes,fragmented_locus
36983_1#43	type_b	full_gene_complement,fragmented_locus
36983_1#44	type_b	full_gene_complement,fragmented_locus
36983_1#6	type_a	full_gene_complement
36983_1#87	type_b	full_gene_complement,fragmented_locus
36983_2#111	type_e	full_gene_complement
36983_2#137	type_b	full_gene_complement,fragmented_locus
36983_2#207	type_b	full_gene_complement,fragmented_locus
36983_2#230	type_b	full_gene_complement,truncated_genes,fragmented_locus
36983_2#262	type_b	full_gene_complement,fragmented_locus
36983_2#277	type_a	full_gene_complement
36983_2#285	type_f	full_gene_complement
36983_2#307	type_b	full_gene_complement,fragmented_locus
36983_2#313	type_b	full_gene_complement,truncated_genes,fragmented_locus
36983_2#328	type_b	full_gene_complement,fragmented_locus
36983_2#372	type_b	full_gene_complement,truncated_genes,fragmented_locus
36983_2#47	type_b	full_gene_complement,fragmented_locus
36983_2#75	type_a	full_gene_complement
36983_2#97	type_b	full_gene_complement,fragmented_locus
36983_2#99	type_b	full_gene_complement,truncated_genes,fragmented_locus
36984_2#102	type_b	full_gene_complement,fragmented_locus
36984_2#103	type_b	full_gene_complement,fragmented_locus
36984_2#109	type_b	full_gene_complement,fragmented_locus
36984_2#116	type_b	full_gene_complement,fragmented_locus
36984_2#131	type_b	full_gene_complement,fragmented_locus
36984_2#172	type_f	full_gene_complement
36984_2#182	type_b	full_gene_complement,fragmented_locus
36984_2#223	type_b	full_gene_complement,fragmented_locus
36984_2#280	type_b	full_gene_complement,fragmented_locus
36984_2#317	type_f	full_gene_complement
36984_2#329	type_b	full_gene_complement,truncated_genes,fragmented_locus
36984_2#333	type_b	full_gene_complement,truncated_genes,fragmented_locus
36984_2#339	type_b	full_gene_complement,fragmented_locus
36984_2#382	type_b	full_gene_complement,fragmented_locus
36984_2#383	type_f	full_gene_complement
36984_2#6	type_f	full_gene_complement
36984_2#73	type_b	full_gene_complement,fragmented_locus
36984_2#78	type_b	full_gene_complement,truncated_genes,fragmented_locus
36984_2#86	type_b	full_gene_complement,fragmented_locus
36984_2#87	type_b	full_gene_complement,fragmented_locus
36984_2#94	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_1#10	type_b	full_gene_complement,fragmented_locus
36985_1#105	type_b	full_gene_complement,fragmented_locus
36985_1#11	type_b	full_gene_complement,fragmented_locus
36985_1#114	type_b	full_gene_complement,fragmented_locus
36985_1#122	type_e	full_gene_complement
36985_1#183	type_a	full_gene_complement
36985_1#188	type_f	full_gene_complement
36985_1#197	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_1#270	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_1#288	type_b	full_gene_complement,fragmented_locus
36985_1#354	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_1#355	type_b	full_gene_complement,fragmented_locus
36985_1#358	type_b	full_gene_complement,fragmented_locus
36985_1#362	type_e	full_gene_complement
36985_1#369	type_b	full_gene_complement,fragmented_locus
36985_1#372	type_c	full_gene_complement
36985_1#374	type_b	full_gene_complement,fragmented_locus
36985_1#5	type_f	full_gene_complement
36985_1#59	type_b	full_gene_complement,fragmented_locus
36985_1#82	type_b	full_gene_complement,fragmented_locus
36985_2#111	type_b	full_gene_complement,fragmented_locus
36985_2#123	type_a	full_gene_complement
36985_2#124	type_f	full_gene_complement
36985_2#128	type_f	full_gene_complement
36985_2#18	type_b	full_gene_complement,fragmented_locus
36985_2#21	type_b	full_gene_complement,fragmented_locus
36985_2#214	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#234	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#237	type_a	full_gene_complement
36985_2#239	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#245	type_e	full_gene_complement
36985_2#252	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#255	type_e	full_gene_complement
36985_2#259	type_b	full_gene_complement,fragmented_locus
36985_2#266	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#272	type_b	full_gene_complement,fragmented_locus
36985_2#3	type_b	full_gene_complement,fragmented_locus
36985_2#30	type_e	full_gene_complement
36985_2#308	type_b	full_gene_complement,fragmented_locus
36985_2#320	type_b	full_gene_complement,fragmented_locus
36985_2#357	type_e	full_gene_complement
36985_2#367	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#49	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#62	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#69	type_b	full_gene_complement,fragmented_locus
36985_2#71	type_b	full_gene_complement,fragmented_locus
36985_2#77	type_b	full_gene_complement,truncated_genes,fragmented_locus
36985_2#8	type_b	full_gene_complement,fragmented_locus
36985_2#98	type_f	full_gene_complement
37017_1#316	type_e	full_gene_complement
37017_1#350	type_b	full_gene_complement,fragmented_locus
37017_1#82	type_b	full_gene_complement,fragmented_locus
37017_2#1	type_b	full_gene_complement,fragmented_locus
37017_2#116	type_b	full_gene_complement,fragmented_locus
37017_2#150	type_e	full_gene_complement
37017_2#162	type_b	full_gene_complement,fragmented_locus
37017_2#181	type_b	full_gene_complement,truncated_genes,fragmented_locus
37017_2#188	type_b	full_gene_complement,truncated_genes
37017_2#212	type_b	full_gene_complement,fragmented_locus
37017_2#221	type_b	full_gene_complement,fragmented_locus
37017_2#246	type_b	full_gene_complement,fragmented_locus
37017_2#253	type_b	full_gene_complement,truncated_genes,fragmented_locus
37017_2#26	type_f	full_gene_complement
37017_2#281	type_b	full_gene_complement,truncated_genes,fragmented_locus
37017_2#303	type_b	full_gene_complement,fragmented_locus
37017_2#307	type_b	full_gene_complement,truncated_genes,fragmented_locus
37017_2#321	type_b	full_gene_complement,fragmented_locus
37017_2#328	type_b	full_gene_complement,fragmented_locus
37017_2#33	type_e	full_gene_complement
37017_2#34	type_b	full_gene_complement,fragmented_locus
37017_2#352	type_b	full_gene_complement,fragmented_locus
37017_2#360	type_b	full_gene_complement,fragmented_locus
37017_2#46	type_b	full_gene_complement,fragmented_locus
37017_2#69	type_b	full_gene_complement,fragmented_locus
37017_2#76	type_f	full_gene_complement
37017_2#85	type_b	full_gene_complement,truncated_genes,fragmented_locus
37017_2#97	type_e	full_gene_complement
37311_1#229	type_b	full_gene_complement,truncated_genes,fragmented_locus
37311_1#289	type_f	full_gene_complement
37311_1#65	type_b	full_gene_complement,fragmented_locus
37311_1#97	type_b	full_gene_complement,fragmented_locus
38087_1#158	type_b	full_gene_complement,fragmented_locus
38087_1#212	type_b	full_gene_complement,fragmented_locus
38087_1#253	type_b	full_gene_complement,truncated_genes,fragmented_locus
38087_1#30	type_b	full_gene_complement,fragmented_locus
38087_1#308	type_b	full_gene_complement,fragmented_locus
38087_1#315	type_f	full_gene_complement
38087_1#82	type_b	full_gene_complement,fragmented_locus
46321_1#192	type_f	full_gene_complement
46321_2#173	type_e	full_gene_complement,truncated_genes
46321_2#242	type_f	full_gene_complement
46321_2#363	type_e	full_gene_complement
46358_2#138	type_e	full_gene_complement
46358_2#261	type_b	full_gene_complement,fragmented_locus
46358_2#335	type_b	full_gene_complement,truncated_genes,fragmented_locus
46358_2#337	type_f	full_gene_complement
46358_2#349	type_b	full_gene_complement,fragmented_locus
46358_2#59	type_e	full_gene_complement
46472_2#120	type_b	full_gene_complement,fragmented_locus
46472_2#337	type_f	full_gene_complement
48373_1#114	type_e	full_gene_complement
48373_1#140	type_f	full_gene_complement
48373_1#168	type_e	full_gene_complement
48373_1#191	type_e	full_gene_complement
48373_1#217	type_e	full_gene_complement
48373_1#225	type_e	full_gene_complement
48373_1#243	type_e	full_gene_complement
48373_1#25	type_e	full_gene_complement
48373_1#55	type_f	full_gene_complement
