alignment	id_run	irods_path	is_paired_read	lane	library_id	library_type	manual_qc	name	npg_run_id	reference	run_uuid	sample_uuid	tag_index	target	total_reads	type
1	46371	/seq/illumina/runs/46/46371/lane4/plex196/46371_4#196.cram	1	4	65992792	pWGS-384	1	46371_4#196	46371_4#196		70f3aea7-6983-5ad6-a1d8-9bc215ce6930	93e7227a-7645-5e5d-9947-56cac6562dc7	196	1	22204474	cram
1	46358	/seq/illumina/runs/46/46358/lane2/plex141/46358_2#141.cram	1	2	65990219	pWGS-384	1	46358_2#141	46358_2#141		1e10ee67-e77f-55a7-a50a-c55f683472bf	5beae10a-723c-5b14-b21c-22f7c0776974	141	1	2284384	cram
1	46321	/seq/illumina/runs/46/46321/lane1/plex59/46321_1#59.cram	1	1	65992086	pWGS-384	1	46321_1#59	46321_1#59		a8f3b102-19de-5b33-904d-d73c78150644	5e5785a6-a490-55f4-ad5a-2a0e259d7309	59	1	2526508	cram
1	46626	/seq/illumina/runs/46/46626/lane1/plex86/46626_1#86.cram	1	1	65990432	pWGS-384	1	46626_1#86	46626_1#86		4fb7f7a9-19ca-574e-bd2a-1cd924554584	e4539320-6057-5600-8b75-b988c30aa17d	86	1	18743034	cram
1	46358	/seq/illumina/runs/46/46358/lane2/plex193/46358_2#193.cram	1	2	65989935	pWGS-384	1	46358_2#193	46358_2#193		51785b5c-242c-58f6-b269-335770e0f844	e349b7dd-41ba-5e08-9b20-5d373149a937	193	1	1733220	cram
1	48373	/seq/illumina/runs/48/48373/lane1/plex97/48373_1#97.cram	1	1	70377031	pWGS-384	1	48373_1#97	48373_1#97		a080294c-7f20-5526-82ac-cf97ffdb96b4	443366a7-4f8b-53ea-9ecf-20f6a458f34e	97	1	2210490	cram
1	46736	/seq/illumina/runs/46/46736/lane1/plex251/46736_1#251.cram	1	1	65993347	pWGS-384	1	46736_1#251	46736_1#251		63f989fe-90d5-5641-8062-5bed52d82dec	02b440ba-82f2-5022-aaa4-7402e767de74	251	1	1844620	cram
1	46626	/seq/illumina/runs/46/46626/lane1/plex220/46626_1#220.cram	1	1	65990584	pWGS-384	1	46626_1#220	46626_1#220		e1f601fa-b8f9-5840-9c00-ac17f8753dd3	a09307f8-a996-59c4-a165-eb000ac382e9	220	1	23013676	cram
1	46371	/seq/illumina/runs/46/46371/lane4/plex148/46371_4#148.cram	1	4	65992789	pWGS-384	1	46371_4#148	46371_4#148		2f996361-065a-5d36-a29d-2b3fec339653	6f3f0592-a74b-5fdd-bd0c-a5e2264c6f3d	148	1	9122032	cram
1	48373	/seq/illumina/runs/48/48373/lane1/plex351/48373_1#351.cram	1	1	70377215	pWGS-384	1	48373_1#351	48373_1#351		e4d0850a-fb99-56e3-9223-549eb212c8bb	a5fd5f9b-a7cd-5569-a0fc-f45ced00cca3	351	1	1838580	cram
1	46321	/seq/illumina/runs/46/46321/lane2/plex378/46321_2#378.cram	1	2	65992466	pWGS-384	1	46321_2#378	46321_2#378		0c0b78e3-dcb8-50ba-a1b7-8104ef563a3e	4aaee2d0-2eb2-5604-9354-8263748d01f0	378	1	2113320	cram
1	46371	/seq/illumina/runs/46/46371/lane1/plex184/46371_1#184.cram	1	1	65991638	pWGS-384	1	46371_1#184	46371_1#184		eadd43ce-d408-55be-90fe-c26a866171e9	e94a3553-d887-5ffe-9976-abaf7d420bff	184	1	19322262	cram
1	46371	/seq/illumina/runs/46/46371/lane4/plex273/46371_4#273.cram	1	4	65992725	pWGS-384	1	46371_4#273	46371_4#273		58fa1e46-f825-5de3-b508-890a0a9a70e6	83867677-5a28-5465-8062-9b34e7a84ed5	273	1	37906894	cram
1	46371	/seq/illumina/runs/46/46371/lane4/plex335/46371_4#335.cram	1	4	65992969	pWGS-384	1	46371_4#335	46371_4#335		0d16c291-c513-5af5-b20c-cb72e022c86b	7d496943-8fcb-5a35-a11e-90bda99b2b65	335	1	12530466	cram
1	46371	/seq/illumina/runs/46/46371/lane1/plex364/46371_1#364.cram	1	1	65991770	pWGS-384	1	46371_1#364	46371_1#364		60a1abc1-d460-5d22-ba2a-6802bd73b6ef	a2f8946f-dc8e-592e-aa17-5a5da357d84b	364	1	18651008	cram
1	46626	/seq/illumina/runs/46/46626/lane1/plex156/46626_1#156.cram	1	1	65990580	pWGS-384	1	46626_1#156	46626_1#156		78096347-74c5-585f-ba55-78c63f05fd06	4b8e237b-10be-5fd8-95f2-1358f310c569	156	1	10556612	cram
1	48373	/seq/illumina/runs/48/48373/lane1/plex198/48373_1#198.cram	1	1	70377157	pWGS-384	1	48373_1#198	48373_1#198		8746efaa-a901-5bdf-8e5a-7fa113476105	5cfabcad-a460-5b68-87e0-cdaa888b29e1	198	1	1832788	cram
1	48373	/seq/illumina/runs/48/48373/lane1/plex322/48373_1#322.cram	1	1	70377093	pWGS-384	1	48373_1#322	48373_1#322		31a8ec7d-1e9b-5ed8-b2da-ecc13eba0952	c8e6de9c-3fb6-5465-b078-8e4a937f6ee0	322	1	2149916	cram
1	48373	/seq/illumina/runs/48/48373/lane1/plex99/48373_1#99.cram	1	1	70377079	pWGS-384	1	48373_1#99	48373_1#99		659460e4-c352-5d84-a0d6-0029233313e7	1dec8fb3-4e38-5342-86a1-31e3b261f541	99	1	1451134	cram
1	46371	/seq/illumina/runs/46/46371/lane1/plex34/46371_1#34.cram	1	1	65991485	pWGS-384	1	46371_1#34	46371_1#34		27142876-154c-557f-83d5-ca2fdc6c1420	82a3ba67-254a-5720-8c8f-5966fcb7232d	34	1	14112030	cram
1	46321	/seq/illumina/runs/46/46321/lane2/plex331/46321_2#331.cram	1	2	65992487	pWGS-384	1	46321_2#331	46321_2#331		baac5096-bd8f-5d57-b15e-01a39afe353c	9f212b6e-272e-5114-a385-9482ef3362ea	331	1	2184506	cram
1	46371	/seq/illumina/runs/46/46371/lane3/plex32/46371_3#32.cram	1	3	65991052	pWGS-384	1	46371_3#32	46371_3#32		8a4e3e61-0e29-5e00-b25b-debd9cf39001	1155c7b1-ae74-5b6c-88ed-ff0737bc64ae	32	1	11038076	cram
1	46371	/seq/illumina/runs/46/46371/lane2/plex12/46371_2#12.cram	1	2	65991339	pWGS-384	1	46371_2#12	46371_2#12		2ea3bc74-915a-5f10-8df5-e531fd1ae79a	a3924b5f-73ea-54f4-891d-14ac7577d803	12	1	20029888	cram
1	48373	/seq/illumina/runs/48/48373/lane1/plex72/48373_1#72.cram	1	1	70377197	pWGS-384	1	48373_1#72	48373_1#72		9cf7c82e-cf99-5574-9a51-e3affae5b461	3d6d4d46-c183-5fbb-82f1-47f3dd8e5277	72	1	1462452	cram
