batch_uuid	file_type	file_uuid	method_uuid	path
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	fe20322c-8c04-4f36-af19-520b39e7d988	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170567/SLX/65993309/46736_1#26/46736_1#26/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	0d722dd8-410b-49ba-b5b3-85a962f845a7	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661881/SLX/65992172/46321_1#286/46321_1#286/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	e0b23273-3a7c-4cd2-8f39-21acd4c9acb5	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662732/SLX/65989996/46358_2#20/46358_2#20/spades_assembly/annotation/46358_2#20.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	a95af38d-7159-47a9-ae87-9f9e77cc560b	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS13171150/SLX/70377357/48373_1#333/48373_1#333/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	1603cd54-b48f-4d4b-ac10-5fe47921e921	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS12926752/SLX/65990014/46358_2#308/46358_2#308/spades_assembly/annotation/46358_2#308.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	ec4d407c-b179-48ac-b8d1-5e2be65f8de9	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS13171308/SLX/70377062/48373_1#210/48373_1#210/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	b5fde2ab-7712-4dab-8191-d98e3232e601	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10662095/SLX/65992375/46321_2#71/46321_2#71/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	fbf893cc-322b-41e6-9dea-992a47b5c419	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170929/SLX/67518370/47195_1#245/47195_1#245/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	dde97233-e7e0-44de-8935-68b086f02c62	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS12926772/SLX/65989968/46358_2#338/46358_2#338/spades_assembly/annotation/46358_2#338.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	2631485d-4652-4875-b4af-74d161500fd9	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10662368/SLX/65992347/46321_2#6/46321_2#6/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	1bda8259-6bfb-482e-ba3a-da2a48b81215	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662682/SLX/65990038/46358_2#309/46358_2#309/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	77fb3d1c-0d01-4189-a87f-a93b77784727	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS12926776/SLX/65990112/46358_2#344/46358_2#344/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	fd5bab9e-43eb-4132-b056-80fb546309c0	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170734/SLX/67518317/47195_1#163/47195_1#163/spades_assembly/contigs.fa
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	faf7e5dc-d9b8-4206-adf3-f060745a0322	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661885/SLX/65991886/46321_1#306/46321_1#306/spades_assembly/contigs.fa
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	b95a39ff-43b0-4665-adf1-b2cb7306603c	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170573/SLX/65993215/46736_1#54/46736_1#54/spades_assembly/annotation/46736_1#54.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	c560f6db-ef27-4cc3-8f1d-dba10576ad4a	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS13171174/SLX/70377268/48373_1#59/48373_1#59/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	1454432e-a651-4d96-a451-a766804666dc	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10661906/SLX/65992080/46321_1#346/46321_1#346/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	8bd3296a-b72b-461d-8284-d300e33ca28f	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170824/SLX/67518481/47195_1#106/47195_1#106/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	b9dd591e-5e7d-4942-b291-ef5ddd79c961	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170735/SLX/67518365/47195_1#165/47195_1#165/spades_assembly/annotation/47195_1#165.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	7c641070-16f4-4125-b795-222eac1dca59	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10661223/SLX/65992010/46321_1#375/46321_1#375/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	ad404ada-eda3-4c98-a8ae-382f59ad6eb5	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662200/SLX/65990193/46358_2#108/46358_2#108/spades_assembly/annotation/46358_2#108.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	097a5fef-ff09-4de6-9506-5c0d352de473	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS13171195/SLX/70377130/48373_1#149/48373_1#149/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	d56f7cb0-461f-425f-b755-9f7056ed4078	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662679/SLX/65990276/46358_2#287/46358_2#287/spades_assembly/annotation/46358_2#287.gff
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	6ce1376e-1ed5-4b63-b1fe-3c6b0596b877	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662604/SLX/65989934/46358_2#177/46358_2#177/spades_assembly/annotation/46358_2#177.gff
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	0715d7e3-01d1-41f1-b994-a61a68720421	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661593/SLX/65992494/46321_2#60/46321_2#60/spades_assembly/annotation/46321_2#60.gff
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	cddb4fe6-cad4-474f-9b6f-cc107a35d900	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10662729/SLX/65990234/46358_2#381/46358_2#381/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	1a920d13-8be7-4072-a64c-4c8865d55019	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS13171111/SLX/70377395/48373_1#176/48373_1#176/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	bfc4c44b-df67-4a23-a2d2-35f386ef8269	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170860/SLX/67518393/47195_1#230/47195_1#230/spades_assembly/annotation/47195_1#230.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	0f819b9b-d45c-41ca-bd6f-6b05a37bc55e	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661854/SLX/65992216/46321_1#224/46321_1#224/kraken.report
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	10e338f3-8898-4c44-9497-edd76e9c3190	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661588/SLX/65992350/46321_2#54/46321_2#54/spades_assembly/annotation/46321_2#54.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	f8b66fc1-d9f5-4d4c-a80e-5bf94552291f	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170867/SLX/67518585/47195_1#238/47195_1#238/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	dbb53628-7075-45f0-864e-26ff9d676411	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170447/SLX/65993145/46736_1#83/46736_1#83/spades_assembly/contigs.fa
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	b3713ed4-5e08-42ab-8c6f-6c1095b0be45	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS10661117/SLX/65992194/46321_1#255/46321_1#255/spades_assembly/annotation/46321_1#255.gff
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	b29f2f77-b0aa-4428-84c4-bd33571ab268	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170868/SLX/67518633/47195_1#240/47195_1#240/kraken.report
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	f759917f-18a5-49c3-8d10-b24d6793057f	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10660959/SLX/65992182/46321_1#63/46321_1#63/spades_assembly/contigs.fa
dc70a140-fddc-4558-b93c-698af4f8b460	annotation	fd0012d9-e340-455c-bd97-4748fc50e8b9	7120eb66-8038-44f3-b251-d23e80ac3539	/data/pam/applications/vr-pipelines/prokaryotes/Haemophilus/influenzae/TRACKING/6588/SEANFDS10661254/SLX/65996049/46472_2#92/46472_2#92/spades_assembly/annotation/46472_2#92.gff
8fc1dcee-727c-4f21-866e-e7310f23b942	assembly	587ef7f8-92b0-4d86-8f56-c957c9d1a795	e1e5c349-bf9f-485c-9621-9863d108ab1e	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170847/SLX/67518629/47195_1#176/47195_1#176/spades_assembly/contigs.fa
cc6881fa-fbc5-4937-8fe4-fbd86d562ba7	qc	5ca7a0f8-e8a7-4f1e-944e-7ab1324d1ad4	dbfce6ab-43e3-4448-8e90-9d2b1b9fe891	/data/pam/applications/vr-pipelines/prokaryotes/Moraxella/catarrhalis/TRACKING/6588/SEANFDS13170595/SLX/65993582/46872_1#165/46872_1#165/kraken.report
