run_accession,sample_accession
ERR3410633,SAMEA4621633
ERR3410608,SAMEA4621608
ERR3410638,SAMEA4621638
ERR3425662,SAMEA4622926
ERR3410613,SAMEA4621613
ERR3410641,SAMEA4621641
ERR3425687,SAMEA4622951
ERR3410619,SAMEA4621619
ERR3410648,SAMEA4621648
ERR3410625,SAMEA4621625
ERR3410652,SAMEA4622422
ERR3425702,SAMEA4622966
ERR3410631,SAMEA4621631
ERR3410659,SAMEA4622429
ERR3425717,SAMEA4622981
ERR3410662,SAMEA4622432
ERR3410634,SAMEA4621634
ERR3425729,SAMEA4622993
ERR3410663,SAMEA4622433
ERR3410642,SAMEA4621642
ERR3425736,SAMEA4623000
ERR3410664,SAMEA4622434
ERR3410644,SAMEA4621644
ERR3439937,SAMEA4621655
ERR3410655,SAMEA4622425
ERR3410678,SAMEA4622448
ERR3439940,SAMEA4621658
ERR3410665,SAMEA4622435
ERR3410688,SAMEA4622458
ERR3439941,SAMEA4621659
ERR3410684,SAMEA4622454
ERR3410690,SAMEA4622460
ERR3439954,SAMEA4621672
ERR3410689,SAMEA4622459
ERR3410698,SAMEA4622468
ERR3439958,SAMEA4621676
ERR3410691,SAMEA4622461
ERR3410711,SAMEA4622481
ERR3439965,SAMEA4621683
ERR3410705,SAMEA4622475
ERR3410744,SAMEA4622526
ERR3439977,SAMEA4621695
ERR3410707,SAMEA4622477
ERR3410770,SAMEA4622540
ERR3439980,SAMEA4621698
ERR3410708,SAMEA4622478
ERR3410777,SAMEA4622547
ERR3439982,SAMEA4621700
ERR3410709,SAMEA4622479
ERR3410778,SAMEA4622548
ERR3439988,SAMEA4621706
ERR3410712,SAMEA4622482
ERR3410786,SAMEA4622556
ERR3439998,SAMEA4621716
ERR3410723,SAMEA4622493
ERR3410787,SAMEA4622557
ERR3440009,SAMEA4621727
ERR3410724,SAMEA4622494
ERR3410789,SAMEA4622559
ERR3440010,SAMEA4621728
ERR3410734,SAMEA4622504
ERR3410804,SAMEA4622574
ERR3440015,SAMEA4621733
ERR3410741,SAMEA4622523
ERR3410832,SAMEA4622602
ERR3440021,SAMEA4621750
ERR3410742,SAMEA4622524
ERR3410849,SAMEA4622619
ERR3440025,SAMEA4621754
ERR3410743,SAMEA4622525
ERR3410859,SAMEA4622629
ERR3440027,SAMEA4621756
ERR3410745,SAMEA4622527
ERR3410860,SAMEA4622630
