run_accession,sample_accession
ERR3411661,SAMEA4620361
ERR3425399,SAMEA4620732
ERR3425443,SAMEA4620783
ERR3411667,SAMEA4620367
ERR3425400,SAMEA4620733
ERR3425447,SAMEA4620787
ERR3411668,SAMEA4620368
ERR3425401,SAMEA4620741
ERR3425453,SAMEA4620793
ERR3411669,SAMEA4620369
ERR3425441,SAMEA4620781
ERR3425454,SAMEA4620794
ERR3411670,SAMEA4620370
ERR3425455,SAMEA4620795
ERR3425442,SAMEA4620782
ERR3411671,SAMEA4620371
ERR3425444,SAMEA4620784
ERR3425458,SAMEA4620798
ERR3411676,SAMEA4620376
ERR3425500,SAMEA4620840
ERR3425445,SAMEA4620785
ERR3411677,SAMEA4620377
ERR3425501,SAMEA4620841
ERR3425446,SAMEA4620786
ERR3411679,SAMEA4620379
ERR3425507,SAMEA4620847
ERR3425449,SAMEA4620789
ERR3411684,SAMEA4620384
ERR3425462,SAMEA4620802
ERR3425510,SAMEA4620850
ERR3411691,SAMEA4620391
ERR3425493,SAMEA4620833
ERR3425511,SAMEA4620851
ERR3425494,SAMEA4620834
ERR3411693,SAMEA4620393
ERR3425512,SAMEA4620852
ERR3425495,SAMEA4620835
ERR3411704,SAMEA4620404
ERR3425518,SAMEA4620858
ERR3425498,SAMEA4620838
ERR3411705,SAMEA4620405
ERR3425519,SAMEA4620859
ERR3425499,SAMEA4620839
ERR3411715,SAMEA4620415
ERR3425520,SAMEA4620860
ERR3425502,SAMEA4620842
ERR3425541,SAMEA4620881
ERR3411716,SAMEA4620416
ERR3425503,SAMEA4620843
ERR3425542,SAMEA4622805
ERR3411717,SAMEA4620417
ERR3425508,SAMEA4620848
ERR3425556,SAMEA4622819
ERR3411722,SAMEA4620423
ERR3425527,SAMEA4620867
ERR3425563,SAMEA4622826
ERR3411723,SAMEA4620424
ERR3425547,SAMEA4622810
ERR3425564,SAMEA4622827
ERR3411724,SAMEA4620425
ERR3425548,SAMEA4622811
ERR3411725,SAMEA4620426
ERR3425596,SAMEA4622859
ERR3425562,SAMEA4622825
ERR3411726,SAMEA4620427
ERR3425601,SAMEA4622864
ERR3425567,SAMEA4622830
ERR3411728,SAMEA4620429
ERR3425606,SAMEA4622869
ERR3425569,SAMEA4622832
ERR3411732,SAMEA4620433
ERR3425614,SAMEA4622877
ERR3425576,SAMEA4622839
ERR3411735,SAMEA4620436
ERR3425634,SAMEA4622898
ERR3425582,SAMEA4622845
ERR3411737,SAMEA4620438
ERR3425639,SAMEA4622903
ERR3425597,SAMEA4622860
ERR3411738,SAMEA4620439
ERR3425647,SAMEA4622911
ERR3425610,SAMEA4622873
ERR3411742,SAMEA4620443
ERR3425653,SAMEA4622917
ERR3425612,SAMEA4622875
ERR3411748,SAMEA4620449
ERR3425660,SAMEA4622924
ERR3425617,SAMEA4622880
ERR3411753,SAMEA4620454
ERR3425718,SAMEA4622982
ERR3425620,SAMEA4622883
ERR3411754,SAMEA4620455
ERR3425723,SAMEA4622987
ERR3425621,SAMEA4622884
ERR3411763,SAMEA4620464
ERR3425744,SAMEA4623009
ERR3425644,SAMEA4622908
ERR3411772,SAMEA4620472
ERR3425807,SAMEA4623072
ERR3425673,SAMEA4622937
ERR3411776,SAMEA4620476
ERR3425873,SAMEA4623234
ERR3425688,SAMEA4622952
ERR3411777,SAMEA4620477
ERR3439939,SAMEA4621657
ERR3425714,SAMEA4622978
ERR3411780,SAMEA4620480
ERR3439942,SAMEA4621660
ERR3425745,SAMEA4623010
ERR3411784,SAMEA4620485
ERR3439944,SAMEA4621662
ERR3425754,SAMEA4623022
ERR3411790,SAMEA4620491
ERR3439952,SAMEA4621670
ERR3425787,SAMEA4623052
ERR3411791,SAMEA4620492
ERR3439956,SAMEA4621674
ERR3904084,SAMEA4622044
ERR3411795,SAMEA4620496
ERR3439968,SAMEA4621686
ERR3904085,SAMEA4622045
ERR3411820,SAMEA4620905
ERR3439970,SAMEA4621688
ERR3904088,SAMEA4622048
ERR3411823,SAMEA4620908
ERR3439979,SAMEA4621697
ERR3904092,SAMEA4622052
ERR3411824,SAMEA4620909
ERR3904099,SAMEA4622059
ERR3439981,SAMEA4621699
ERR3411825,SAMEA4620910
ERR3904100,SAMEA4622060
ERR3439992,SAMEA4621710
ERR3411827,SAMEA4620912
ERR3904108,SAMEA4622068
ERR3411831,SAMEA4620916
ERR3439995,SAMEA4621713
ERR3904119,SAMEA4622079
ERR3411835,SAMEA4620920
ERR3904120,SAMEA4622080
ERR3439996,SAMEA4621714
ERR3411840,SAMEA4620925
ERR3904123,SAMEA4622083
ERR3411841,SAMEA4620926
ERR3440005,SAMEA4621723
ERR3904146,SAMEA4622106
ERR3411846,SAMEA4620931
ERR3904154,SAMEA4622114
ERR3440011,SAMEA4621729
ERR3411848,SAMEA4620933
ERR3904158,SAMEA4622118
ERR3411854,SAMEA4620939
ERR3904167,SAMEA4622127
ERR3440012,SAMEA4621730
ERR3411902,SAMEA4620987
ERR3904177,SAMEA4622138
ERR3411909,SAMEA4620994
ERR3440023,SAMEA4621752
ERR3904178,SAMEA4622139
ERR3411911,SAMEA4620996
ERR3440024,SAMEA4621753
ERR3904200,SAMEA4622161
ERR3411913,SAMEA4620998
ERR3440026,SAMEA4621755
ERR3904201,SAMEA4622162
ERR3411915,SAMEA4621000
ERR3440028,SAMEA4621757
ERR3904205,SAMEA4622166
ERR3411917,SAMEA4621002
ERR3440034,SAMEA4621741
ERR3904211,SAMEA4622172
ERR3411918,SAMEA4621003
ERR3440036,SAMEA4621743
ERR3904213,SAMEA4622174
ERR3440037,SAMEA4621744
ERR3411921,SAMEA4621006
ERR3904222,SAMEA4622183
ERR3440049,SAMEA4621767
ERR3411959,SAMEA4621044
ERR3904224,SAMEA4622185
ERR3440051,SAMEA4621769
ERR3411961,SAMEA4621046
ERR3904230,SAMEA4622191
ERR3440057,SAMEA4621775
ERR3411964,SAMEA4621049
ERR3904244,SAMEA4622205
ERR3440071,SAMEA4621789
ERR3411971,SAMEA4621057
ERR3904251,SAMEA4622212
ERR3440072,SAMEA4621790
ERR3411974,SAMEA4621060
ERR3904253,SAMEA4622214
ERR3440091,SAMEA4621809
ERR3411975,SAMEA4621061
ERR3904254,SAMEA4622215
ERR3440102,SAMEA4621820
ERR3411989,SAMEA4621075
ERR3904300,SAMEA4622251
ERR3440116,SAMEA4621834
ERR3412013,SAMEA4621099
ERR3904342,SAMEA4622303
ERR3440117,SAMEA4621835
ERR3412018,SAMEA4621104
ERR3904389,SAMEA4622350
ERR3440124,SAMEA4621842
ERR3412019,SAMEA4621105
ERR3904395,SAMEA4622356
ERR3440128,SAMEA4621846
ERR3412022,SAMEA4621108
ERR3904405,SAMEA4622366
ERR3440137,SAMEA4621855
ERR3412029,SAMEA4621115
ERR3904415,SAMEA4622376
ERR3440138,SAMEA4621856
ERR3412031,SAMEA4621117
ERR3904417,SAMEA4622378
ERR3440146,SAMEA4621864
ERR3412033,SAMEA4621119
ERR3904423,SAMEA4622384
ERR3440161,SAMEA4621879
ERR3412040,SAMEA4621126
ERR3904436,SAMEA4622397
ERR3440167,SAMEA4621885
ERR3412045,SAMEA4621131
ERR3967470,SAMEA5130833
ERR3440173,SAMEA4621891
ERR3412055,SAMEA4621141
ERR3967472,SAMEA5130834
ERR3440185,SAMEA4621903
ERR3412056,SAMEA4621142
ERR3967480,SAMEA5130741
ERR3440187,SAMEA4621905
ERR3412089,SAMEA4621176
ERR3967483,SAMEA5130840
ERR3412092,SAMEA4621179
ERR3440188,SAMEA4621906
ERR3967484,SAMEA5130743
ERR3412093,SAMEA4621180
ERR3440197,SAMEA4621915
ERR3967517,SAMEA5130863
ERR3412094,SAMEA4621181
ERR3440198,SAMEA4621916
ERR3967518,SAMEA5130760
ERR3440200,SAMEA4621919
ERR3412103,SAMEA4621190
ERR3967523,SAMEA5130763
ERR3440203,SAMEA4621922
ERR3412108,SAMEA4621195
ERR3967525,SAMEA5130764
ERR3440205,SAMEA4621924
ERR3412110,SAMEA4621197
ERR3967531,SAMEA5130767
ERR3440217,SAMEA4621936
ERR3412111,SAMEA4621198
ERR3967535,SAMEA5130769
ERR3440222,SAMEA4621941
ERR3412113,SAMEA4621200
ERR3967538,SAMEA5130875
ERR3440228,SAMEA4621947
ERR3412117,SAMEA4621204
ERR3967547,SAMEA5130775
ERR3440232,SAMEA4621951
ERR3412118,SAMEA4621205
ERR3967553,SAMEA5130777
ERR3440242,SAMEA4621961
ERR3412120,SAMEA4621207
ERR3967554,SAMEA5130882
ERR3440253,SAMEA4621972
ERR3412121,SAMEA4621208
ERR3967557,SAMEA5130883
ERR3440254,SAMEA4621973
ERR3412122,SAMEA4621209
ERR3967560,SAMEA5130886
ERR3440269,SAMEA4621990
ERR3412129,SAMEA4621216
ERR3967568,SAMEA5130782
ERR3440280,SAMEA4622001
ERR3412137,SAMEA4621229
ERR3967582,SAMEA5130788
ERR3440281,SAMEA4622002
ERR3412152,SAMEA4621221
ERR3967590,SAMEA5130792
ERR3967594,SAMEA5130794
ERR3412176,SAMEA4621263
ERR3440293,SAMEA4622012
ERR3967612,SAMEA5130803
ERR3904079,SAMEA4622039
ERR3967622,SAMEA5130808
ERR3904086,SAMEA4622046
ERR3967628,SAMEA5130811
ERR3440294,SAMEA4622013
ERR3904087,SAMEA4622047
ERR3967636,SAMEA5130815
ERR3904093,SAMEA4622053
ERR3967638,SAMEA5130816
ERR3904098,SAMEA4622058
ERR3440299,SAMEA4622018
ERR3439931,SAMEA4622767
ERR3904103,SAMEA4622063
ERR3439943,SAMEA4621661
ERR3904106,SAMEA4622066
ERR3439945,SAMEA4621663
ERR3440310,SAMEA4622029
ERR3904107,SAMEA4622067
ERR3439955,SAMEA4621673
ERR3904124,SAMEA4622084
ERR3439957,SAMEA4621675
ERR3904130,SAMEA4622090
ERR3440314,SAMEA4622033
ERR3439959,SAMEA4621677
ERR3904132,SAMEA4622092
ERR3439967,SAMEA4621685
ERR3904133,SAMEA4622093
ERR3439969,SAMEA4621687
ERR3904144,SAMEA4622104
ERR3439971,SAMEA4621689
ERR3440315,SAMEA4622034
ERR3904145,SAMEA4622105
ERR3439973,SAMEA4621691
ERR3904149,SAMEA4622109
ERR3439978,SAMEA4621696
ERR3904152,SAMEA4622112
ERR3469448,SAMEA4622136
ERR3439983,SAMEA4621701
ERR3904153,SAMEA4622113
ERR3904076,SAMEA4622036
ERR3439984,SAMEA4621702
ERR3904160,SAMEA4622120
ERR3439985,SAMEA4621703
ERR3904161,SAMEA4622121
ERR3904095,SAMEA4622055
ERR3439993,SAMEA4621711
ERR3904162,SAMEA4622122
ERR3904102,SAMEA4622062
ERR3439997,SAMEA4621715
ERR3904166,SAMEA4622126
ERR3439999,SAMEA4621717
ERR3904104,SAMEA4622064
ERR3904169,SAMEA4622129
ERR3440002,SAMEA4621720
ERR3904105,SAMEA4622065
ERR3904170,SAMEA4622130
ERR3440003,SAMEA4621721
ERR3904128,SAMEA4622088
ERR3904172,SAMEA4622132
ERR3440004,SAMEA4621722
ERR3904176,SAMEA4622137
ERR3440006,SAMEA4621724
ERR3904131,SAMEA4622091
ERR3904179,SAMEA4622140
ERR3440013,SAMEA4621731
ERR3904143,SAMEA4622103
ERR3904183,SAMEA4622144
ERR3440014,SAMEA4621732
ERR3904186,SAMEA4622147
ERR3440042,SAMEA4621760
ERR3904156,SAMEA4622116
ERR3904189,SAMEA4622150
ERR3440043,SAMEA4621761
ERR3904163,SAMEA4622123
ERR3904196,SAMEA4622157
ERR3440054,SAMEA4621772
ERR3904168,SAMEA4622128
ERR3904198,SAMEA4622159
ERR3440064,SAMEA4621782
ERR3904171,SAMEA4622131
ERR3440077,SAMEA4621795
ERR3904204,SAMEA4622165
ERR3904175,SAMEA4622135
ERR3440089,SAMEA4621807
ERR3904212,SAMEA4622173
ERR3904180,SAMEA4622141
ERR3440094,SAMEA4621812
ERR3904234,SAMEA4622195
ERR3904181,SAMEA4622142
ERR3440100,SAMEA4621818
ERR3904243,SAMEA4622204
ERR3904185,SAMEA4622146
ERR3440103,SAMEA4621821
ERR3904252,SAMEA4622213
ERR3904197,SAMEA4622158
ERR3440154,SAMEA4621872
ERR3904274,SAMEA4622235
ERR3904214,SAMEA4622175
ERR3440157,SAMEA4621875
ERR3904275,SAMEA4622236
ERR3440158,SAMEA4621876
ERR3904286,SAMEA4622247
ERR3904223,SAMEA4622184
ERR3440159,SAMEA4621877
ERR3904301,SAMEA4622252
ERR3440170,SAMEA4621888
ERR3904308,SAMEA4622269
ERR3904232,SAMEA4622193
ERR3440174,SAMEA4621892
ERR3904324,SAMEA4622285
ERR3440175,SAMEA4621893
ERR3904239,SAMEA4622200
ERR3904331,SAMEA4622292
ERR3440182,SAMEA4621900
ERR3904348,SAMEA4622309
ERR3904247,SAMEA4622208
ERR3440190,SAMEA4621908
ERR3904355,SAMEA4622316
ERR3440194,SAMEA4621912
ERR3904248,SAMEA4622209
ERR3904357,SAMEA4622318
ERR3440195,SAMEA4621913
ERR3904360,SAMEA4622321
ERR3904249,SAMEA4622210
ERR3440199,SAMEA4621917
ERR3904370,SAMEA4622331
ERR3440204,SAMEA4621923
ERR3904378,SAMEA4622339
ERR3904261,SAMEA4622222
ERR3440208,SAMEA4621927
ERR3904390,SAMEA4622351
ERR3440223,SAMEA4621942
ERR3904400,SAMEA4622361
ERR3904266,SAMEA4622227
ERR3440224,SAMEA4621943
ERR3904403,SAMEA4622364
ERR3904268,SAMEA4622229
ERR3440227,SAMEA4621946
ERR3904411,SAMEA4622372
ERR3440233,SAMEA4621952
ERR3904271,SAMEA4622232
ERR3904412,SAMEA4622373
ERR3440234,SAMEA4621953
ERR3904416,SAMEA4622377
ERR3904276,SAMEA4622237
ERR3440237,SAMEA4621956
ERR3904435,SAMEA4622396
ERR3440238,SAMEA4621957
ERR3904284,SAMEA4622245
ERR3440250,SAMEA4621969
ERR3904441,SAMEA4622402
ERR3904293,SAMEA4622262
ERR3440252,SAMEA4621971
ERR3967454,SAMEA5130825
ERR3967488,SAMEA5130745
ERR3440260,SAMEA4621979
ERR3904295,SAMEA4622264
ERR3440261,SAMEA4621980
ERR3967489,SAMEA5130843
ERR3904296,SAMEA4622265
ERR3440262,SAMEA4621981
ERR3967493,SAMEA5130845
ERR3440263,SAMEA4621982
ERR3967494,SAMEA5130748
ERR3904303,SAMEA4622254
ERR3440270,SAMEA4621991
ERR3967496,SAMEA5130749
ERR3904307,SAMEA4622258
ERR3967498,SAMEA5130750
ERR3440279,SAMEA4622000
ERR3967501,SAMEA5130852
ERR3440283,SAMEA4622004
ERR3904312,SAMEA4622273
ERR3967511,SAMEA5130860
ERR3440288,SAMEA4622007
ERR3967513,SAMEA5130861
ERR3904315,SAMEA4622276
ERR3440289,SAMEA4622008
ERR3967514,SAMEA5130758
ERR3448859,SAMEA4621056
ERR3904318,SAMEA4622279
ERR3967520,SAMEA5130761
ERR3904082,SAMEA4622042
ERR3967532,SAMEA5130871
ERR3904094,SAMEA4622054
ERR3904319,SAMEA4622280
ERR3967537,SAMEA5130770
ERR3904097,SAMEA4622057
ERR3904328,SAMEA4622289
ERR3967543,SAMEA5130773
ERR3904126,SAMEA4622086
ERR3904340,SAMEA4622301
ERR3967550,SAMEA5130776
ERR3904184,SAMEA4622145
ERR3904345,SAMEA4622306
ERR3967563,SAMEA5130891
ERR3904190,SAMEA4622151
ERR3967566,SAMEA5130892
ERR3904195,SAMEA4622156
ERR3904349,SAMEA4622310
ERR3904202,SAMEA4622163
ERR3967569,SAMEA5130893
ERR3904351,SAMEA4622312
ERR3904203,SAMEA4622164
ERR3967571,SAMEA5130783
ERR3967575,SAMEA5130909
ERR3904237,SAMEA4622198
ERR3904352,SAMEA4622313
ERR3967586,SAMEA5130790
ERR3904269,SAMEA4622230
ERR3904358,SAMEA4622319
ERR3904278,SAMEA4622239
ERR3967588,SAMEA5130791
ERR3904285,SAMEA4622246
ERR3967596,SAMEA5130795
ERR3904361,SAMEA4622322
ERR3904287,SAMEA4622248
ERR3967614,SAMEA5130804
ERR3904362,SAMEA4622323
ERR3904292,SAMEA4622261
ERR3967630,SAMEA5130812
ERR3904369,SAMEA4622330
ERR3904294,SAMEA4622263
ERR3904306,SAMEA4622257
ERR3904371,SAMEA4622332
ERR3904317,SAMEA4622278
ERR3904377,SAMEA4622338
ERR3904326,SAMEA4622287
ERR3904329,SAMEA4622290
ERR3904384,SAMEA4622345
ERR3904330,SAMEA4622291
ERR3904404,SAMEA4622365
ERR3904333,SAMEA4622294
ERR3904406,SAMEA4622367
ERR3904346,SAMEA4622307
ERR3904350,SAMEA4622311
ERR3904427,SAMEA4622388
ERR3904359,SAMEA4622320
ERR3904428,SAMEA4622389
ERR3904373,SAMEA4622334
ERR3904374,SAMEA4622335
ERR3904429,SAMEA4622390
ERR3904407,SAMEA4622368
ERR3904430,SAMEA4622391
ERR3904452,SAMEA4622413
ERR3904446,SAMEA4622407
ERR3904457,SAMEA4622418
ERR3904447,SAMEA4622408
ERR3904458,SAMEA4622419
ERR3967448,SAMEA5130822
ERR3967466,SAMEA5130831
ERR3967490,SAMEA5130746
ERR3967500,SAMEA5130751
ERR3967502,SAMEA5130752
ERR3967512,SAMEA5130757
ERR3967527,SAMEA5130765
ERR3967528,SAMEA5130868
ERR3967533,SAMEA5130768
ERR3967534,SAMEA5130873
ERR3967540,SAMEA5130876
ERR3967542,SAMEA5130877
ERR3967548,SAMEA5130880
ERR3967551,SAMEA5130881
ERR3967580,SAMEA5130787
ERR3967598,SAMEA5130796
ERR3967600,SAMEA5130797
ERR3967604,SAMEA5130799
ERR3967608,SAMEA5130801
ERR3967620,SAMEA5130807
ERR3967624,SAMEA5130809
ERR3967633,SAMEA5130920
ERR3967643,SAMEA5130925
ERR3967648,SAMEA5130821
