Isolate,Region,Cohort,Country,Year,Species
ERR3412107,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425165,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412126,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410990,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411713,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411787,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440263,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425502,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412025,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411743,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904145,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439980,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411901,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410343,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412098,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425509,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425221,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425519,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425159,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412041,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425197,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425459,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425614,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904172,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425444,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410534,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410840,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425446,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411902,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411691,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411744,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410956,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411908,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411770,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410423,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904294,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904163,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904202,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410318,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425238,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425199,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412129,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904348,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410305,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411612,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411825,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904411,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411635,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412121,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904104,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412033,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440290,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411671,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904319,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410691,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425456,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410798,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410756,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425378,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440315,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412022,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410342,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904430,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425510,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411791,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440028,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425192,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412111,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410948,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439970,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410845,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410359,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411913,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425224,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410589,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439957,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904370,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410659,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410513,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411903,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411741,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425209,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904088,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410904,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425714,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411594,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410306,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410811,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904416,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440174,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410283,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440217,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425211,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904123,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904270,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410858,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410778,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410751,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440003,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412105,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411793,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440103,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410598,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3410358,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904278,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440262,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440204,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904230,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425400,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425254,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3904307,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411621,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440036,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410590,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904254,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904106,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425457,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411958,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440294,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904441,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410333,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411737,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411845,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425223,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440280,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904359,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411976,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412125,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410552,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411837,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410334,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904094,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439993,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412040,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425191,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425338,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410322,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3439937,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411576,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440002,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904149,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904195,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411641,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411687,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425449,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425217,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425230,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411003,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904436,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425186,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410692,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425314,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425612,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410833,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411661,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440236,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411757,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410661,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425158,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904076,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440013,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425518,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425183,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425193,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440281,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410380,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411711,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904452,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904362,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410773,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904203,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425723,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904180,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425190,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425596,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440123,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904286,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440011,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411680,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410979,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410344,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411792,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410385,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440171,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440172,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412037,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410529,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440205,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904205,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3410519,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904222,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440071,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425461,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411775,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425222,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411916,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425179,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425194,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412124,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410429,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425321,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411694,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411705,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410315,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425168,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439985,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904160,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411638,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411024,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425508,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410980,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410895,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410748,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412117,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425181,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425196,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425514,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425172,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410387,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440275,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904415,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410550,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411657,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412103,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410317,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411847,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410665,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904092,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411822,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411603,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425248,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410398,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440310,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440072,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411833,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425511,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425164,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425225,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904097,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411977,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425647,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904384,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904407,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410890,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3411589,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425656,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411653,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412097,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440106,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410366,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904260,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439967,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440239,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412035,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904295,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425513,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410583,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410749,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410743,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904198,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3439996,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410708,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410966,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410634,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410882,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3411652,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410620,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410449,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425212,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410857,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440124,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410803,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410492,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411975,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410673,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425320,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425246,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411841,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440224,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440027,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425569,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410785,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425171,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904373,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904374,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425383,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425385,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410936,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425227,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410360,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425188,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412123,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410319,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904181,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904154,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410328,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410345,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411840,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904360,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410642,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425198,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410362,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411784,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425458,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425396,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440173,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904458,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411001,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410648,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904271,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3411785,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411692,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425189,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410597,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410415,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411727,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425216,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904457,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425180,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904200,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412042,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425620,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425688,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410753,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3439955,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410893,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425334,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410596,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904119,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425185,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904331,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425240,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425170,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410968,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410662,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410860,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410787,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410663,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440308,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410744,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
