Isolate,Region,Cohort,Country,Year,Species
ERR3411685,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904435,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410871,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425527,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410297,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904326,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411602,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425443,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410762,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440208,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425638,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904275,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411821,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425498,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410527,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440024,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411829,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425390,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440012,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410915,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410613,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410952,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904204,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411940,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440238,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904303,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410789,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411571,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411655,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411830,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440094,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439983,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410329,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410647,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412057,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904152,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904176,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411574,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425440,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411606,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425388,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411749,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412106,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904232,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3440015,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410709,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904130,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411599,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411824,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411623,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904403,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411632,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440161,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410621,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412108,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904143,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440115,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425389,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410852,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410887,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440163,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440168,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440283,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3904213,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410919,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410268,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411681,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411719,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440195,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412113,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440051,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410913,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411856,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411990,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410486,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410644,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3425541,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904369,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904082,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412175,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425495,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410760,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410520,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440223,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411966,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411730,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425582,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410272,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425591,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440057,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412055,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410582,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410439,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411647,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411911,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440190,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904266,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410605,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3410848,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410311,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411736,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411970,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410274,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425556,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439997,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3425662,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410309,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411827,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411665,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411751,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904118,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440261,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411973,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904330,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440289,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425169,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904124,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904261,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411963,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411679,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410870,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904087,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411795,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410522,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440252,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412109,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410678,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410619,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411634,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425504,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904293,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412034,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439984,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425160,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410556,Drakenstein,Drakenstein,South Africa,2012,Moraxella catarrhalis
ERR3411616,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904269,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411961,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425447,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425329,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425745,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904131,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410878,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439954,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410674,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410336,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410584,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411644,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904179,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410864,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411846,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411919,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3440095,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425376,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411586,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410428,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412015,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411622,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904418,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3425601,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425382,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425322,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904308,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3411678,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904086,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904417,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904404,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425394,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411839,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904133,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425687,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410865,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440138,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411575,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411595,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411608,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425318,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411642,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411900,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410397,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904412,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410804,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410586,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411597,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425633,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411615,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412178,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412092,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904190,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3412020,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904196,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904329,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425229,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904253,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440078,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425634,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410750,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904107,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425251,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3410321,Drakenstein,Drakenstein,South Africa,2015,Moraxella catarrhalis
ERR3440202,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904212,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410533,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411828,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440187,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410735,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410472,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425453,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410896,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3412177,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904377,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425549,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411650,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411675,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425328,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425644,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410660,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440242,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904197,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440269,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410609,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411978,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3469448,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410877,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425493,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410790,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425611,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410457,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3411729,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425450,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3410480,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3425542,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3440005,Drakenstein,Drakenstein,South Africa,2014,Moraxella catarrhalis
ERR3904306,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3904301,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
ERR3439981,Drakenstein,Drakenstein,South Africa,2013,Moraxella catarrhalis
