alignment	id_run	irods_path	is_paired_read	lane	library_id	library_type	manual_qc	name	npg_run_id	reference	run_uuid	sample_uuid	tag_index	target	total_reads	type
1	36985	/seq/illumina/runs/36/36985/lane2/plex74/36985_2#74.cram	1	2	25813438	pWGS-384	1	36985_2#74	36985_2#74		b3cbda48-f86c-5e59-a6b9-b535ff3ecdc9	89ce0aa4-239d-53f9-b6f4-298db8b3eb4e	74	1	1731504	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex7/36985_2#7.cram	1	2	25813362	pWGS-384	1	36985_2#7	36985_2#7		d925498c-50c5-563b-9e10-13b92940ceb2	c0aea85e-2099-5f6e-85df-593a33987cda	7	1	2849964	cram
1	36812	/seq/illumina/runs/36/36812/lane2/plex183/36812_2#183.cram	1	2	25777568	pWGS-384	1	36812_2#183	36812_2#183		78166801-edb1-5f5e-879f-5da6f52745b6	9e2f33f1-0c6a-5615-abb4-889f795b81a2	183	1	1551986	cram
1	36773	/seq/illumina/runs/36/36773/lane2/plex358/36773_2#358.cram	1	2	25858000	pWGS-384	1	36773_2#358	36773_2#358		9d087b91-e85c-5d01-9367-efef85a39896	aba5be88-834a-5a81-8415-d4de049832bb	358	1	3537484	cram
1	36985	/seq/illumina/runs/36/36985/lane1/plex335/36985_1#335.cram	1	1	26753907	pWGS-384	1	36985_1#335	36985_1#335		b6ccbd18-f854-527c-a582-8a0f38432cbc	2f97b2da-90d1-5193-a6ae-e8dbe501ae38	335	1	3535994	cram
1	37017	/seq/illumina/runs/37/37017/lane2/plex328/37017_2#328.cram	1	2	25838821	pWGS-384	1	37017_2#328	37017_2#328		16af2979-59b1-534e-9623-1f835184e655	6ec4d037-fbd7-549d-b18d-1994fbfca5b0	328	1	3157858	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex283/36774_1#283.cram	1	1	25730998	pWGS-384	1	36774_1#283	36774_1#283		de991eb8-05a6-5160-a6e7-25dc0b7cf597	8c2a3a56-8a7d-512e-be5b-d396f56f4182	283	1	2587130	cram
1	36812	/seq/illumina/runs/36/36812/lane1/plex366/36812_1#366.cram	1	1	25941057	pWGS-384	1	36812_1#366	36812_1#366		261ca295-82d6-5ee5-b39e-7902a704499d	9acc843f-718e-5a06-878f-c8d8444b91f2	366	1	2735114	cram
1	36985	/seq/illumina/runs/36/36985/lane1/plex187/36985_1#187.cram	1	1	26753802	pWGS-384	1	36985_1#187	36985_1#187		489532e3-1d17-5fe8-90cc-342bd9578181	63078981-6ecb-58fd-b69d-e9f231f82ac9	187	1	2030348	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex8/36985_2#8.cram	1	2	25813386	pWGS-384	1	36985_2#8	36985_2#8		93336a33-9a36-5686-9618-54dca2598c7f	7f4ac585-6917-5967-b3e3-d4673db963c6	8	1	2207360	cram
1	36774	/seq/illumina/runs/36/36774/lane2/plex11/36774_2#11.cram	1	2	25851205	pWGS-384	1	36774_2#11	36774_2#11		663edcbe-bc55-592c-984a-3676a7da775b	5cfc478d-6811-5de2-84a3-a5da7c5075c7	11	1	2148238	cram
1	37017	/seq/illumina/runs/37/37017/lane1/plex308/37017_1#308.cram	1	1	25968999	pWGS-384	1	37017_1#308	37017_1#308		34caf33e-1325-5429-b95d-da61bbf99f82	edac530c-8df3-58ff-aace-eb6c22360697	308	1	750102	cram
1	36774	/seq/illumina/runs/36/36774/lane1/plex284/36774_1#284.cram	1	1	25731022	pWGS-384	1	36774_1#284	36774_1#284		0d632574-d7d1-5dcb-8706-3f1d0d56528a	7760882d-17ab-5b9c-9e21-b58dc41fec64	284	1	2698612	cram
1	36985	/seq/illumina/runs/36/36985/lane2/plex141/36985_2#141.cram	1	2	25813514	pWGS-384	1	36985_2#141	36985_2#141		e877a3da-4c18-5dc8-893f-b10281c1526e	10049452-593d-5cd4-8799-38ae41f1821f	141	1	2355816	cram
