Sample,Isolate,Cohort,Country,Region,Year,Description,Species
SEANFDS10659896,08B03238_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659904,08B03242_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659912,08B03271_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659920,08B03295_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659928,08B03307_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660941,08B03311_Hflu,Maela,Thailand,Maela,2008,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659841,08B03330_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660947,08B03351_Mcat,Maela,Thailand,Maela,2008,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660804,08B03557_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660913,08B03660_Mcat,Maela,Thailand,Maela,2008,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659857,08B03781_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659865,08B03827_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659873,08B03868_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659881,08B03910_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659889,08B03923_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659897,08B03955_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659905,08B03962_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659913,08B03999_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659921,08B04012_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659842,08B04138_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659850,08B04317_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659858,08B04481_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659874,08B04681_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659890,08B04721_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659898,08B04798_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659906,08B04838_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659922,08B04903_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659930,08B04941_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659843,08B04971_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659851,08B04973_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659867,08B05006_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659883,08B05014_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10659891,08B05017_Mixed,Maela,Thailand,Maela,2008,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
