Sample,Isolate,Cohort,Country,Region,Year,Description,Species
SEANFDS10660218,09B00379_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660131,09B00387_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660139,09B00428_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660147,09B00523_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660943,09B00530_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660155,09B00544_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660163,09B00548_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660171,09B00573_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660179,09B00575_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660187,09B00606_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660195,09B00607_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660203,09B00611_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660211,09B00619_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660219,09B00657_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660132,09B00683_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660140,09B00713_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660148,09B00721_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660922,09B00742_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660156,09B00745_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660802,09B00800_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660164,09B00849_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660172,09B00853_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660180,09B00935_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660188,09B00942_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660196,09B00952_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660204,09B00967_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660212,09B01024_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660220,09B01032_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660229,09B01059_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660237,09B01090_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660245,09B01093_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660261,09B01094_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660269,09B01096_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660277,09B01107_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660285,09B01117_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660293,09B01119_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660309,09B01149_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660222,09B01157_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660230,09B01173_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660238,09B01180_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661058,09B01183_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660246,09B01192_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660254,09B01235_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660262,09B01236_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660270,09B01251_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660951,09B01261_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660278,09B01311_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660286,09B01325_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660294,09B01332_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660302,09B01333_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660310,09B01365_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660223,09B01372_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660231,09B01377_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660239,09B01430_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660255,09B01465_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660263,09B01472_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661066,09B01509_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660271,09B01518_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660279,09B01527_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660287,09B01536_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660959,09B01541_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660295,09B01556_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660311,09B01595_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660224,09B01601_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660232,09B01640_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660967,09B01647_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660968,09B01688_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660810,09B01688_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660248,09B01698_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660256,09B01722_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660264,09B01732_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660272,09B01749_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660280,09B01789_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660288,09B01806_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660997,09B01844_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660296,09B01868_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660304,09B01869_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660312,09B01878_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661005,09B01892_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660225,09B01949_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660233,09B01982_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660241,09B01991_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660818,09B02022_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660249,09B02055_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661074,09B02056_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660257,09B02065_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660265,09B02068_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660273,09B02113_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660281,09B02117_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660289,09B02118_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660297,09B02122_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660305,09B02138_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660313,09B02158_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660226,09B02163_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660860,09B02178_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660242,09B02229_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660250,09B02252_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660258,09B02276_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660274,09B02348_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661021,09B02357_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660282,09B02389_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660290,09B02392_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660298,09B02459_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660306,09B02494_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660314,09B02545_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661029,09B02572_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660227,09B02573_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660243,09B02600_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660251,09B02612_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660267,09B02642_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660275,09B02664_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660291,09B02725_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660307,09B02784_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660315,09B02816_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660228,09B02846_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661037,09B02851_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660236,09B02855_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660994,09B02886_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660868,09B02886_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661082,09B02922_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660876,09B02933_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660975,09B02981_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660244,09B03000_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660252,09B03001_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660260,09B03008_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660983,09B03032_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660268,09B03050_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660276,09B03085_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660292,09B03113_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660308,09B03165_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660316,09B03170_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660317,09B03172_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660826,09B03222_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660325,09B03255_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660333,09B03283_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660341,09B03349_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660834,09B03375_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660365,09B03470_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660373,09B03475_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660381,09B03485_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660389,09B03538_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660397,09B03574_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661061,09B03589_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660405,09B03629_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660318,09B03651_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660326,09B03691_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660334,09B03717_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660342,09B03725_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660350,09B03742_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661069,09B03756_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660366,09B03766_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660374,09B03772_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660382,09B03834_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660390,09B03846_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660406,09B03879_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660319,09B03891_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660327,09B03950_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660842,09B04046_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660343,09B04080_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660351,09B04086_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660359,09B04119_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660367,09B04120_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660375,09B04168_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660383,09B04178_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660391,09B04183_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660399,09B04202_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660902,09B04206_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10661077,09B04206_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660407,09B04219_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660320,09B04226_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660328,09B04233_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660910,09B04288_Hflu,Maela,Thailand,Maela,2009,Haemophilus influenzae from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660336,09B04300_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660344,09B04316_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660998,09B04342_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660352,09B04364_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660360,09B04395_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660850,09B04412_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660368,09B04419_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660376,09B04442_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660384,09B04477_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660392,09B04516_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660400,09B04530_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660408,09B04567_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660321,09B04616_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660329,09B04620_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660337,09B04685_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660345,09B04730_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660976,09B04734_Mcat,Maela,Thailand,Maela,2009,Moraxella catarrhalis from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660858,09B04734_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660353,09B04771_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660361,09B04813_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660369,09B04839_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660377,09B04883_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660385,09B04945_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660393,09B04955_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660401,09B05042_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
SEANFDS10660409,09B05051_Mixed,Maela,Thailand,Maela,2009,Mixed bacteria from nasopharyngeal swab,Nasopharyngeal bacteria
