import_uuid	name	sample_accession_number	sample_common_name	sample_donor_id	sample_id	sample_supplier_name	sample_uuid	sequencescape_sample_id
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415845	ERS5380261	Haemophilus influenzae	HINTVAC9415845	5035173	21_88_H4_09B02611	9b27e94f-5185-59b9-89f1-da4ab913b282	HINTVAC9415845
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415069	ERS5379355	Haemophilus influenzae	HINTVAC9415069	5034397	29_87_H3_09B07408	34713804-ba9a-50da-9f92-9e384c3b399b	HINTVAC9415069
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415021	ERS5379280	Haemophilus influenzae	HINTVAC9415021	5034349	30_93_H9_09B08127	df575d53-bac6-520d-ad77-0b99e3636fd8	HINTVAC9415021
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413398	ERS5377361	Haemophilus influenzae	HINTVAC9413398	5032726	47_11_A11_10B06875	647ee2da-1819-5c72-8474-a1ef6f621cd5	HINTVAC9413398
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413931	ERS5377958	Haemophilus influenzae	HINTVAC9413931	5033259	41_65_F5_10B01328	2e8a1c71-1cbb-5ad8-994c-dc3b046169b5	HINTVAC9413931
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9417159	ERS5382026	Haemophilus influenzae	HINTVAC9417159	5036487	7_13_B1_08B05553	b72d2a9c-5847-5f8b-8a99-772d6fb743fc	HINTVAC9417159
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415993	ERS5380466	Haemophilus influenzae	HINTVAC9415993	5035321	20_47_D11_09B01885	0f498545-bb0a-5648-8838-d63f0499ce47	HINTVAC9415993
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9416320	ERS5380843	Haemophilus influenzae	HINTVAC9416320	5035648	16_28_C4_08B10661	1b263e6d-baaf-5abf-ac99-34f5a59a2a8d	HINTVAC9416320
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9415301	ERS5379637	Haemophilus influenzae	HINTVAC9415301	5034629	27_92_H8_09B06050	f7bdee41-f10f-54c7-888e-6010b152da24	HINTVAC9415301
d6689ec1-58e0-5900-96c7-a034a740ba8c	HINTVAC9413701	ERS5377691	Haemophilus influenzae	HINTVAC9413701	5033029	44_96_H12_10B04411	ca8b85ca-119e-5cf0-bdd8-9d0b9a1398ed	HINTVAC9413701
