import_uuid	name	sample_accession_number	sample_common_name	sample_donor_id	sample_id	sample_supplier_name	sample_uuid	sequencescape_sample_id
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10661235	ERS14271235	unidentified	SEANFDS10661235	8297905	PCV-C-0601-1	f4dbc623-959a-5e06-b023-edd51cba2f8f	SEANFDS10661235
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10662599	ERS12036486	Haemophilus influenzae	SEANFDS10662599	8299201	PCV-C-0670-2	2b3da20e-18df-5d8e-bdf5-86393ebc5382	SEANFDS10662599
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10659917	ERS14270355	unidentified	SEANFDS10659917	8296793	08B01382_Mixed	c57aa8c7-504d-5f9f-9432-02948c4c42d4	SEANFDS10659917
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS13170421	ERS14308187	Moraxella catarrhalis	SEANFDS13170421	8542625	MCAT13128SOL	2dfcce43-1f5d-51c1-853e-522769c091f2	SEANFDS13170421
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10660238	ERS14270714	unidentified	SEANFDS10660238	8297083	09B01180_Mixed	c071cea0-336a-5976-ab65-82e216267429	SEANFDS10660238
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS13170757	ERS14747788	Moraxella catarrhalis	SEANFDS13170757	8642904	MCAT4037UHS	6f074b6a-c209-5afb-99af-d75458cc8817	SEANFDS13170757
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10660173	ERS14270614	unidentified	SEANFDS10660173	8297024	08B09626_Mixed	7d6a3df2-32e2-59bc-83d7-6233a4a3b211	SEANFDS10660173
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10662725	ERS12036535	Haemophilus influenzae	SEANFDS10662725	8299326	PCV-C-0985-2	cafb0cdd-6360-5bf4-bfea-f7d75be7603d	SEANFDS10662725
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10662885	ERS12036631	Haemophilus influenzae	SEANFDS10662885	8299478	PCV-C-1479-2	41363856-477e-5002-ad68-78e7ebc69ff1	SEANFDS10662885
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10660302	ERS14270768	unidentified	SEANFDS10660302	8297137	09B01333_Mixed	1155c7b1-ae74-5b6c-88ed-ff0737bc64ae	SEANFDS10660302
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10660350	ERS14270687	unidentified	SEANFDS10660350	8297182	09B03742_Mixed	8d5e4013-1008-52b3-8011-9057b2b04a59	SEANFDS10660350
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10661376	ERS12035842	Haemophilus influenzae	SEANFDS10661376	8298046	PCV-C-0897-4	978f36df-24f8-53b4-aa0f-27db43da624a	SEANFDS10661376
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS13171115	ERS17064858	Haemophilus influenzae	SEANFDS13171115	9456794	HINF5155UHS	e52444b8-c481-5495-ac73-3d14d4b13b34	SEANFDS13171115
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS13170986	ERS17064727	Haemophilus influenzae	SEANFDS13170986	9456666	HINF3123UHS	81391100-50e9-54ca-a926-559637b1b9a3	SEANFDS13170986
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS13170684	ERS14747731	Moraxella catarrhalis	SEANFDS13170684	8642831	MCAT3022UHS	a15ce87a-d401-5b8f-adaf-71f874ede377	SEANFDS13170684
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10662413	ERS12036389	Moraxella catarrhalis	SEANFDS10662413	8299036	PCV-C-0682-3	7f83f14e-5f8c-5b91-980d-8c477583e37c	SEANFDS10662413
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10661860	ERS12036097	Haemophilus influenzae	SEANFDS10661860	8298507	PCV-C-0422-2	29984b80-86b1-5cc3-86f5-bf9725b47a03	SEANFDS10661860
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10660257	ERS14270729	unidentified	SEANFDS10660257	8297099	09B02065_Mixed	53392586-dc82-5321-837a-49fa9249c70d	SEANFDS10660257
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10660144	ERS14270588	unidentified	SEANFDS10660144	8296998	08B10499_Mixed	3252709e-9671-5053-8f45-bf35ca9b5d84	SEANFDS10660144
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS10662751	ERS14271912	unidentified	SEANFDS10662751	8299352	PCV-C-1732-1	c89b031c-70a9-54c5-8336-6c70964239cf	SEANFDS10662751
b6257c09-a822-5a67-be21-ca815594f546	SEANFDS13170471	ERS14308115	Moraxella catarrhalis	SEANFDS13170471	8542675	MCAT13289SOL	162b3b88-9fc6-5800-a033-aefceb1d6029	SEANFDS13170471
