46358_2#147	Cambodia	2019	Haemophilus influenzae
46358_2#181	Cambodia	2019	Haemophilus influenzae
46321_2#375	Cambodia	2019	Haemophilus influenzae
48373_1#1	United Kingdom	2009	Haemophilus influenzae
48373_1#124	United Kingdom	2020	Haemophilus influenzae
46321_2#132	Cambodia	2019	Haemophilus influenzae
46321_2#137	Cambodia	2019	Haemophilus influenzae
46358_2#186	Cambodia	2019	Haemophilus influenzae
46321_1#184	Cambodia	2019	Haemophilus influenzae
48373_1#345	United Kingdom	2019	Haemophilus influenzae
46321_2#145	Cambodia	2019	Haemophilus influenzae
46358_2#227	Cambodia	2019	Haemophilus influenzae
46358_2#357	Cambodia	2019	Haemophilus influenzae
46358_2#226	Cambodia	2019	Haemophilus influenzae
46358_2#265	Cambodia	2019	Haemophilus influenzae
46321_2#345	Cambodia	2019	Haemophilus influenzae
48373_1#268	United Kingdom	2011	Haemophilus influenzae
48373_1#59	United Kingdom	2019	Haemophilus influenzae
46472_2#367	Cambodia	2019	Haemophilus influenzae
46472_2#250	Cambodia	2019	Haemophilus influenzae
46321_2#166	Cambodia	2019	Haemophilus influenzae
46358_2#18	Cambodia	2019	Haemophilus influenzae
48373_1#294	United Kingdom	2011	Haemophilus influenzae
46321_2#89	Cambodia	2019	Haemophilus influenzae
46358_2#53	Cambodia	2019	Haemophilus influenzae
46358_2#166	Cambodia	2019	Haemophilus influenzae
46358_2#77	Cambodia	2019	Haemophilus influenzae
46358_2#119	Cambodia	2019	Haemophilus influenzae
48373_1#139	United Kingdom	2009	Haemophilus influenzae
48373_1#219	United Kingdom	2019	Haemophilus influenzae
48373_1#305	United Kingdom	2019	Haemophilus influenzae
48373_1#324	United Kingdom	2010	Haemophilus influenzae
48373_1#162	United Kingdom	2011	Haemophilus influenzae
46358_2#301	Cambodia	2019	Haemophilus influenzae
46472_2#280	Cambodia	2019	Haemophilus influenzae
46358_2#155	Cambodia	2019	Haemophilus influenzae
46358_2#279	Cambodia	2019	Haemophilus influenzae
46358_2#58	Cambodia	2019	Haemophilus influenzae
46358_2#17	Cambodia	2019	Haemophilus influenzae
